Language	Language (local)	Wiki	Articles	Total pages	Edits	Admins	Users	Active users	Images	Depth
Tongan	lea faka-Tonga	to	1,908	5,333	41,597	2	9,263	11	12	25
Aramaic	ܐܪܡܝܐ	arc	1,857	6,432	95,358	2	18,854	15	0	89
Tulu	ತುಳು	tcy	1,748	9,018	103,094	2	4,955	36	1	——
Kabiye	Kabɩyɛ	kbp	1,698	3,375	16,069	2	3,874	7	0	——
Jamaican Patois	Patois	jam	1,685	3,025	20,766	1	7,300	8	0	4
Nauruan	Dorerin Naoero	na	1,661	4,885	89,552	1	11,517	12	4	69
Wolof	Wolof	wo	1,652	5,382	104,505	3	13,980	14	0	98
Kabardian	адыгэбзэ	kbd	1,595	6,742	43,690	1	9,166	10	0	67
Nias	Li Niha	nia	1,534	3,632	17,718	2	1,228	14	0	——
Novial	Novial	nov	1,521	4,416	177,738	3	10,857	13	0	145
Tetum	tetun	tet	1,503	3,910	66,610	2	8,947	13	0	43
Kikuyu	Gĩkũyũ	ki	1,502	3,077	20,664	1	8,000	16	0	7
Mon	ဘာသာ မန်	mnw	1,426	4,726	34,531	2	2,699	13	0	39
Luganda	Luganda	lg	1,419	4,814	26,754	1	7,194	9	0	31
Bislama	Bislama	bi	1,395	3,299	42,022	2	12,189	14	0	——
Tok Pisin	Tok Pisin	tpi	1,351	5,680	86,618	2	12,419	9	0	156
N'Ko	ߒߞߏ	nqo	1,332	2,689	10,176	1	2,917	11	0	——
Lojban	la .lojban.	jbo	1,305	5,718	111,672	2	15,074	11	0	223
Aromanian	armãneashti	roa-rup	1,296	4,301	205,335	1	13,044	16	0	256
Fijian	Na Vosa Vakaviti	fj	1,275	3,632	35,453	1	8,388	12	0	——
Lak	лакку	lbe	1,264	14,705	50,293	2	7,828	12	0	386
Kongo	Kongo	kg	1,255	2,905	43,795	1	10,014	10	0	26
Xhosa	isiXhosa	xh	1,240	3,833	33,938	1	11,804	26	0	38
Tahitian	reo tahiti	ty	1,217	2,993	53,075	2	6,878	8	0	37
Old Church Slavonic	словѣньскъ / ⰔⰎⰑⰂⰡⰐⰠⰔⰍⰟ	cu	1,170	5,571	82,657	2	23,149	20	0	209
Shilha	Taclḥit	shi	1,154	3,846	33,409	2	1,514	10	0	——
Sranan Tongo	Sranantongo	srn	1,112	2,729	39,155	1	7,061	9	0	30
Seediq	Seediq	trv	1,110	2,064	86,195	0	1,214	19	0	——
Oromo	Oromoo	om	1,094	3,745	38,060	1	9,516	7	0	59
Gungbe	gungbe	guw	1,078	1,806	30,513	2	531	19	0	——
Samoan	Gagana Samoa	sm	1,065	3,296	42,649	1	9,657	15	0	56
Guianan Creole	kriyòl gwiyannen	gcr	1,050	2,557	16,491	1	2,209	7	0	——
Altai	алтай тил	alt	1,044	3,774	37,014	1	1,681	11	0	——
Cherokee	ᏣᎳᎩ	chr	1,020	3,895	46,175	1	21,908	11	0	94
Latgalian	latgaļu	ltg	1,015	3,223	35,324	1	6,717	9	0	51
Chewa	Chi-Chewa	ny	919	4,004	38,108	1	9,413	17	0	——
Norfolk	Norfuk / Pitkern	pih	893	3,325	44,166	1	10,519	16	0	——
Pa'O	ပအိုဝ်ႏဘာႏသာႏ	blk	874	3,888	17,759	1	275	27	0	——
Gothic	𐌲𐌿𐍄𐌹𐍃𐌺	got	866	3,805	46,133	1	17,791	12	0	——
Madurese	Madhurâ	mad	862	1,630	8,906	0	1,597	11	0	——
Sotho	Sesotho	st	843	4,255	28,455	1	9,472	9	0	——
Amis	Pangcah	ami	841	1,660	32,329	0	969	17	0	——
Bambara	bamanankan	bm	775	3,145	40,424	2	9,902	11	0	——
Tswana	Setswana	tn	774	3,740	28,357	2	9,286	23	0	111
Venda	Tshivenda	ve	748	2,235	19,290	1	7,230	7	0	——
Romani	romani čhib	rmy	730	2,702	50,240	1	16,436	11	0	135
Tsonga	Xitsonga	ts	720	3,765	36,691	2	8,866	10	0	——
Cheyenne	Tsetsêhestâhese	chy	662	2,259	24,114	1	10,636	10	0	62
Kirundi	ikirundi	rn	620	2,450	23,108	1	8,996	6	0	——
Inuktitut	ᐃᓄᒃᑎᑐᑦ/inuktitut	iu	593	3,183	44,510	2	17,051	9	0	——
Akan	Akan	ak	591	2,444	28,944	1	12,568	13	0	——
Swazi	SiSwati	ss	578	2,418	38,091	3	7,652	10	0	——
Fula	Fulfulde	ff	549	2,520	25,243	0	7,921	17	0	——
Chamorro	Chamoru	ch	543	2,502	22,849	1	14,454	14	0	——
Pontic Greek	Ποντιακά	pnt	481	2,039	35,131	1	9,501	6	0	——
Tyap	Tyap	kcg	470	2,321	16,565	1	464	9	0	——
Adyghe	адыгабзэ	ady	452	3,122	12,119	1	6,032	11	0	——
Inupiaq	Iñupiatun	ik	445	2,616	37,994	2	7,966	10	0	——
Ewe	eʋegbe	ee	441	3,142	50,231	3	13,302	17	0	——
Sango	Sängö	sg	311	1,983	20,561	2	5,999	9	0	——
Dinka	Thuɔŋjäŋ	din	306	1,086	8,042	1	5,703	7	0	——
Paiwan	pinayuanan	pwn	281	436	11,284	0	872	16	0	——
Greenlandic	kalaallisut	kl	244	2,262	74,490	2	12,333	17	0	2,252
Tigrinya	ትግርኛ	ti	234	2,732	23,847	2	8,490	10	0	——
Dzongkha	ཇོང་ཁ	dz	229	2,299	29,444	1	9,243	13	0	——
Cree	Nēhiyawēwin / ᓀᐦᐃᔭᐍᐏᐣ	cr	158	2,163	37,468	2	16,815	20	0	——
Ndonga	Oshiwambo	ng	8	443	5,923	1	2,385	0	0	——
Choctaw	Choctaw	cho	6	201	4,220	1	1,809	0	0	——
Kuanyama	Kwanyama	kj	4	114	3,548	1	1,377	0	0	——
Marshallese	Ebon	mh	4	206	4,212	1	2,141	1	0	——
Hiri Motu	Hiri Motu	ho	3	129	3,786	1	1,575	0	0	——
Nuosu	ꆇꉙ	ii	3	189	11,653	1	2,031	0	0	——
Northern Luri	لۊری شومالی	lrc	1	237	140,064	1	5,037	0	0	——
Muscogee	Mvskoke	mus	1	115	3,603	1	2,348	0	0	——
Afar	Qafár af	aa	0	509	4,685	1	4,063	1	0	——
Herero	Otsiherero	hz	0	176	4,483	1	3,761	1	0	——
Kanuri	kanuri	kr	0	162	4,641	1	5,464	0	0	——
